Philz Coffee,"4.5(1,134) · $$",Coffee shop · 5 Embarcadero Ctr,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Philz Coffee,"4.6(1,358) · $$",Coffee shop · 3101 24th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,"4.5(1,222) · $$",Coffee shop · 1 Front St #100,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.4(612) · $$,Coffee shop · 399 Golden Gate Ave,Custom-blended java in a casual setting,Open ⋅ Closes 5:30 PM
Philz Coffee,4.5(917) · $$,Coffee shop · 201 Berry St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.6(518) · $$,Coffee shop · 1775 17th St,Custom-blended java in a casual setting,Open ⋅ Closes 5 PM
Philz Coffee,4.5(919) · $$,Coffee shop · 549 Castro St,Custom-blended java in a casual setting,Open ⋅ Closes 6 PM
Piccino Coffee Bar & Bakery,4.4(138),Coffee shop · 845 22nd St,Open ⋅ Closes 5:30 PM,
Piccino Coffee Bar & Bakery,4.4(138),Cafe · 845 22nd St,Open ⋅ Closes 5:30 PM,
Pinhole Coffee,4.7(480) · $$,Coffee shop · 231 Cortland Ave,Storefront coffeehouse with pastry,Open ⋅ Closes 5:30 PM
Planet Cafe,4.7(44) · $,Coffee shop · 244 Gough St,Revamped American cafe for casual bites,Closes soon ⋅ 2 PM ⋅ Opens 7:30 AM Fri
Progressive Grounds,4.5(383) · $,Coffee shop · 400 Cortland Ave,Coffeehouse with ice cream & patio,Open ⋅ Closes 6 PM
Radiator coffee salon,3.7(18),Cafe · 299 2nd St,Closed ⋅ Opens 6 AM Fri,
Red Bay Coffee Ferry Building,4.0(172),"Coffee shop · 1, Ferry Building, Shop 43",Open ⋅ Closes 6 PM,
Réveille Coffee Co.,4.3(738) · $$,Coffee shop · 200 Columbus Ave,Modern cafe with New American fare,Open ⋅ Closes 4 PM
Réveille Coffee Co.,3.8(4),Coffee shop · 768 Sansome St,Temporarily closed,
Rise & Grind Coffee and Tea,4.5(370) · $,Coffee shop · 785 8th Ave,"Modern cafe for coffee, tea & pastries",Open ⋅ Closes 5 PM
Ritual Coffee Roasters,4.5(455) · $$,Coffee shop · 432b Octavia St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Ritual Coffee Roasters,"4.3(1,512) · $$",Coffee shop · 1026 Valencia St,Coffeehouse using small-farm beans,Open ⋅ Closes 7 PM
Ritual Coffee Roasters,4.4(440) · $$,Coffee shop · 1300 Haight St,Coffeehouse using small-farm beans,Open ⋅ Closes 6 PM
Rose's Cafe,4.4(826) · $$,Cafe · 2298 Union St,Relaxed Italian cafe with a terrace,Open ⋅ Closes 9 PM
Saint Frank Coffee,"4.5(1,056) · $$",Coffee shop · 2340 Polk St,Bright & spacious local coffeehouse,Open ⋅ Closes 6 PM
Sammie Cafe,5.0(4),Coffee shop · 881 Post St,Closed ⋅ Opens 8 AM Fri,
Sammy's Cafe,4.6(128) · $,Cafe · 1416 Bush St,Homey breakfast & sandwich establishment,Closes soon ⋅ 3 PM ⋅ Opens 8:30 AM Fri
San Francisco Coffee Company,4.7(12),Coffee roasters · 70 13th St,Open ⋅ Closes 5 PM,
Sana’a cafe,4.9(87),Coffee shop · 199 New Montgomery St,Open ⋅ Closes 10 PM,
Schilling & Co Cafe,4.6(48) · $$,Cafe · 667 Commercial St,Closed ⋅ Opens 8 AM Fri,
Scullery,4.7(345) · $,Coffee shop · 687 Geary St,"Tiny, artsy cafe for coffee & pastries",Closes soon ⋅ 2 PM ⋅ Opens 7 AM Fri
Seismic Joint,2.8(22),"Cafe · Pier 15, 698 The Embarcadero",Museum cafe with coffee & sweet treats,Open ⋅ Closes 5 PM
Sextant Coffee Roasters,4.5(595) · $$,Coffee shop · 1415 Folsom St,Coffeehouse with exposed brick & beams,Open ⋅ Closes 4 PM
Sightglass Coffee,"4.5(2,835) · $$",Coffee shop · 270 7th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Sightglass Coffee,4.4(473) · $$,Coffee shop · 301 Divisadero St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Sightglass Coffee,4.5(607) · $$,Coffee shop · 3014 20th St,Espresso drinks & coffee roasted on-site,Open ⋅ Closes 5 PM
Sisters Coffee Shop,4.2(91),Coffee shop · 920 Valencia St,Open ⋅ Closes 5 PM,
Snowbird Coffee,4.5(461) · $$,Coffee shop · 1352 9th Ave A,Closed ⋅ Opens 8 AM Fri,
South Beach Cafe,4.2(342) · $,Cafe · 800 The Embarcadero,Coffee shop & pizzeria,Open ⋅ Closes 8:30 PM
Souvenir Coffee,4.7(69),Coffee shop · 262 Divisadero St,Open ⋅ Closes 5 PM,
SPRO - Mission Bay/SOMA,4.7(260) · $$,Coffee shop · 601 Mission Bay Boulevard North,Outdoor stop for coffee drinks & eats,Open ⋅ Closes 4 PM
SPRO - Mission Dolores/Castro,4.7(247),Coffee shop · 500 Church St,Minimalist cafe brewing craft coffee,Open ⋅ Closes 5 PM
