id,name,rating,address,description,openclose
184,Starbucks,3.7(760) · $$,499 Bay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 3 PM
185,Starbucks,4.1(456) · $$,565 Clay St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7:30 PM
186,Starbucks,4.1(435) · $$,49 Jefferson St P,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
187,Starbucks,3.8(272) · $$,789 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
188,Starbucks,4.2(163) · $$,100 1st St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
189,Starbucks,3.9(365) · $$,"Levi's Plaza, 1255 Battery St",Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 7 PM
190,Starbucks,4.5(502) · $$,201 Mission St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
191,Starbucks,4.2(205) · $$,580 California St #150,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
192,Starbucks,4.2(187) · $$,425 Battery St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 6 PM
193,Starbucks,3.8(255) · $$,780 Market St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5:30 PM
194,Starbucks,3.8(193) · $$,99 Jackson St,Iconic Seattle-based coffeehouse chain,Open ⋅ Closes 5 PM
195,Sutter Street Cafe,4.7(107),450 Sutter St #7,Small sandwich shop with coffee & sweets,Open ⋅ Closes 7 PM
196,Sweetheart Cafe,4.2(210) · $,909 Grant Ave,Light Asian bites & sweet treats,Open ⋅ Closes 6 PM
197,Tallio's Coffee & Tea,4.7(41) · $,4732 3rd St,Open ⋅ Closes 4 PM,Open ⋅ Closes 4 PM
198,Tarragon Cafe,4.6(112),200 Fillmore St,Open ⋅ Closes 5 PM,Open ⋅ Closes 7 PM
199,Telescope Coffee,4.8(132),345 6th St,Temporarily closed,
200,The Coffee Movement,4.8(724) · $,1030 Washington St,"Snug, minimalist cafe for artisan brews",
201,The Crêpe Café,4.2(545) · $$,333 Jefferson St UNIT 5A,Chill spot for sweet & savory crepes,
202,The Fresh Cup,4.6(40),798 S Van Ness Ave,Closes soon ⋅ 3 PM ⋅ Opens 7 AM Fri,Open ⋅ Closes 4 PM
203,The Law Café,4.7(7),200 McAllister St,Closes soon ⋅ 3 PM ⋅ Opens 7:30 AM Fri,Open ⋅ Closes 9 PM
204,The Little Spot Cafe,4.7(114) · $,1199 S Van Ness Ave,Eclectic coffee shop with light bites,
205,The Market Cafe,4.2(40),1355 Market St,Open ⋅ Closes 5 PM,
206,The Mill,"4.5(1,765) · $$",736 Divisadero St,Airy coffee shop with breads & pastries,Open ⋅ Closes 7 PM
207,The Morning Fix,4.6(68) · $,1008 Bush St,"Pit stop for coffee, bagels & sandwiches",
208,Tu Kim Coffee Shop,3.8(30),609 Ellis St,Open ⋅ Closes 5 PM,Open ⋅ Closes 5 PM
209,Unexpected Era Café,4.8(42),614 Polk St,Closes soon ⋅ 2:30 PM ⋅ Opens 7 AM Fri,Closed ⋅ Opens 7 AM Fri
210,Verve Coffee Roasters,4.4(670) · $$,2101 Market St,Modern coffeehouse with artisanal blends,
211,Viva Cafe,4.9(80),601 Montgomery St,Open ⋅ Closes 5 PM,
212,Working Girls' Cafe,4.4(76) · $$,101 Mission St,Outpost for breakfast & lunch staples,Open ⋅ Closes 6 PM
213,Wrecking Ball Coffee Roasters,4.4(510) · $$,2271 Union St,House-roasted coffee blends & pastries,
214,Yu’s Cafe,4.4(32) · $,57 Walter U Lum Pl,Open ⋅ Closes 10 PM,Closes soon ⋅ 3 PM ⋅ Opens 9 AM Fri
